,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,kimbe,PG,-5.56,150.15,2019-03-10,76.39,100.0,5.41,92.0
1,paslek,PL,54.06,19.66,2019-03-10,34.0,86.0,8.99,88.0
2,mataura,NZ,-46.19,168.86,2019-03-10,68.0,71.0,1.01,64.0
3,vila velha,BR,-3.71,-38.6,2019-03-10,77.0,94.0,2.24,40.0
4,nemyriv,UA,50.1,23.44,2019-03-10,46.4,70.0,13.42,75.0
5,sorong,ID,-0.86,131.25,2019-03-10,82.96,98.0,5.97,88.0
6,yellowknife,CA,62.45,-114.38,2019-03-10,14.0,78.0,4.7,75.0
7,puerto ayora,EC,-0.74,-90.35,2019-03-10,79.04,97.0,8.99,0.0
8,mumford,GH,5.26,-0.76,2019-03-10,78.14,92.0,4.41,12.0
9,busselton,AU,-33.64,115.35,2019-03-10,73.0,44.0,10.22,0.0
10,tuktoyaktuk,CA,69.44,-133.03,2019-03-10,10.4,78.0,5.82,90.0
11,sistranda,NO,63.73,8.83,2019-03-10,27.0,100.0,5.82,75.0
12,bathsheba,BB,13.22,-59.52,2019-03-10,77.0,65.0,13.87,20.0
13,kapaa,US,22.08,-159.32,2019-03-10,78.8,69.0,17.22,90.0
14,nikolskoye,RU,59.7,30.79,2019-03-10,26.01,85.0,2.24,0.0
15,punta arenas,CL,-53.16,-70.91,2019-03-10,53.6,76.0,19.46,90.0
16,dikson,RU,73.51,80.55,2019-03-10,7.09,83.0,11.56,56.0
17,hithadhoo,MV,-0.6,73.08,2019-03-10,83.27,100.0,5.97,0.0
18,cabo san lucas,MX,22.89,-109.91,2019-03-10,73.4,64.0,4.7,75.0
19,sheksna,RU,59.21,38.5,2019-03-10,31.3,92.0,12.01,76.0
20,bristol,GB,51.45,-2.6,2019-03-10,43.0,74.0,21.92,48.0
21,arraial do cabo,BR,-22.97,-42.02,2019-03-10,79.09,94.0,8.77,44.0
22,kananga,CD,-5.9,22.41,2019-03-10,69.86,94.0,5.64,76.0
23,viedma,AR,-40.81,-62.99,2019-03-10,61.9,45.0,12.01,0.0
24,longyearbyen,NO,78.22,15.63,2019-03-10,3.2,65.0,10.29,20.0
25,tasiilaq,GL,65.61,-37.64,2019-03-10,19.4,62.0,3.36,76.0
26,kupang,ID,-10.16,123.6,2019-03-10,87.8,66.0,6.93,40.0
27,vestmannaeyjar,IS,63.44,-20.27,2019-03-10,29.5,100.0,7.99,0.0
28,new norfolk,AU,-42.78,147.06,2019-03-10,69.01,34.0,10.29,20.0
29,khatanga,RU,71.98,102.47,2019-03-10,-1.69,68.0,8.99,0.0
30,cape town,ZA,-33.93,18.42,2019-03-10,64.99,82.0,10.29,75.0
31,bredasdorp,ZA,-34.53,20.04,2019-03-10,64.4,82.0,13.87,92.0
32,rikitea,PF,-23.12,-134.97,2019-03-10,76.21,100.0,17.72,76.0
33,chuy,UY,-33.69,-53.46,2019-03-10,62.89,88.0,9.78,0.0
34,aklavik,CA,68.22,-135.01,2019-03-10,24.8,53.0,2.24,75.0
35,ushuaia,AR,-54.81,-68.31,2019-03-10,51.8,81.0,26.4,75.0
36,qaanaaq,GL,77.48,-69.36,2019-03-10,-9.16,97.0,9.78,48.0
37,farafangana,MG,-22.82,47.83,2019-03-10,77.92,100.0,1.72,48.0
38,kodiak,US,39.95,-94.76,2019-03-10,34.0,74.0,4.7,20.0
39,atambua,ID,-9.11,124.89,2019-03-10,78.01,100.0,5.64,92.0
40,te anau,NZ,-45.41,167.72,2019-03-10,58.07,95.0,3.85,100.0
