,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,tala,MX,20.65,-103.7,2019-04-09,69.8,13.0,2.39,5.0
1,general roca,AR,-39.03,-67.58,2019-04-09,66.2,55.0,8.05,0.0
2,bambous virieux,MU,-20.34,57.76,2019-04-09,75.2,94.0,8.05,75.0
3,sitka,US,37.17,-99.65,2019-04-09,71.01,51.0,13.0,12.0
4,kruisfontein,ZA,-34.0,24.73,2019-04-09,63.15,81.0,12.35,36.0
5,kondinskoye,RU,59.65,67.41,2019-04-09,31.11,75.0,3.96,20.0
6,yellowknife,CA,62.45,-114.38,2019-04-09,39.2,69.0,5.82,20.0
7,bethel,US,60.79,-161.76,2019-04-09,37.4,51.0,9.17,75.0
8,vaini,IN,15.34,74.49,2019-04-09,78.8,61.0,3.36,0.0
9,souillac,FR,45.6,-0.6,2019-04-09,44.01,93.0,4.18,0.0
10,aldan,RU,58.61,125.39,2019-04-09,30.66,60.0,6.76,48.0
11,touros,BR,-5.2,-35.46,2019-04-09,75.2,94.0,3.36,20.0
12,jamestown,AU,-33.21,138.6,2019-04-09,60.0,49.0,8.77,0.0
13,dingle,PH,11.0,122.67,2019-04-09,86.73,69.0,5.75,48.0
14,keti bandar,PK,24.14,67.45,2019-04-09,79.53,97.0,11.01,0.0
15,puerto ayora,EC,-0.74,-90.35,2019-04-09,78.01,94.0,7.99,88.0
16,butaritari,KI,3.07,172.79,2019-04-09,80.97,100.0,11.45,68.0
17,smithers,CA,54.78,-127.17,2019-04-09,46.4,52.0,2.24,75.0
18,labuhan,ID,-2.54,115.51,2019-04-09,84.48,79.0,1.95,48.0
19,lingdong,CN,28.06,114.24,2019-04-09,54.15,100.0,3.4,100.0
20,lobva,RU,59.19,60.52,2019-04-09,32.46,80.0,3.62,12.0
21,atuona,PF,-9.8,-139.03,2019-04-09,83.67,100.0,6.64,20.0
22,srednekolymsk,RU,67.46,153.71,2019-04-09,30.57,66.0,3.29,0.0
23,kalanguy,RU,51.01,116.52,2019-04-09,42.36,42.0,4.29,0.0
24,khatanga,RU,71.98,102.47,2019-04-09,4.65,85.0,10.45,32.0
25,ushuaia,AR,-54.81,-68.31,2019-04-09,42.8,87.0,16.11,40.0
26,port blair,IN,11.67,92.75,2019-04-09,86.0,74.0,2.24,40.0
27,mahebourg,MU,-20.41,57.7,2019-04-09,75.2,94.0,8.05,75.0
28,richards bay,ZA,-28.77,32.06,2019-04-09,65.04,100.0,3.96,56.0
29,kasongo-lunda,CD,-6.48,16.82,2019-04-09,71.25,97.0,2.17,80.0
30,mataura,NZ,-46.19,168.86,2019-04-09,53.01,96.0,9.44,92.0
31,longyearbyen,NO,78.22,15.63,2019-04-09,25.35,91.0,4.07,92.0
32,mar del plata,AR,-46.43,-67.52,2019-04-09,54.6,62.0,9.55,0.0
33,cayenne,GF,4.94,-52.33,2019-04-09,75.2,94.0,6.08,75.0
34,busselton,AU,-33.64,115.35,2019-04-09,80.01,33.0,3.96,0.0
35,hervey bay,AU,-25.3,152.85,2019-04-09,87.01,40.0,9.17,20.0
36,saint-philippe,CA,45.36,-73.48,2019-04-09,30.2,86.0,12.75,90.0
37,rikitea,PF,-23.12,-134.97,2019-04-09,75.3,100.0,11.23,92.0
38,salalah,OM,17.01,54.1,2019-04-09,78.8,78.0,1.12,40.0
39,saint anthony,US,43.97,-111.68,2019-04-09,39.2,86.0,9.17,90.0
40,hermanus,ZA,-34.42,19.24,2019-04-09,68.0,87.0,5.99,12.0
41,ponta do sol,BR,-20.63,-46.0,2019-04-09,63.87,97.0,3.74,92.0
42,tuktoyaktuk,CA,69.44,-133.03,2019-04-09,5.0,84.0,9.17,90.0
43,hilo,US,19.71,-155.08,2019-04-09,77.0,69.0,6.93,40.0
44,qazvin,IR,36.28,50.01,2019-04-09,42.8,93.0,2.24,0.0
45,luanda,AO,-8.83,13.24,2019-04-09,78.8,88.0,5.82,75.0
46,te anau,NZ,-45.41,167.72,2019-04-09,46.77,100.0,2.84,92.0
47,dikson,RU,73.51,80.55,2019-04-09,17.97,100.0,21.52,76.0
48,victoria,BN,5.28,115.24,2019-04-09,91.4,79.0,3.36,75.0
49,makaleng,BW,-20.8,27.27,2019-04-09,63.87,67.0,9.78,8.0
50,enkhuizen,NL,52.7,5.29,2019-04-09,42.01,100.0,18.34,0.0
51,honiara,SB,-9.43,159.96,2019-04-09,77.01,100.0,2.84,88.0
52,hobart,AU,-42.88,147.33,2019-04-09,61.0,41.0,10.29,75.0
53,albany,US,42.65,-73.75,2019-04-09,46.99,65.0,19.46,90.0
54,naze,NG,5.43,7.07,2019-04-09,76.65,91.0,3.4,48.0
55,tuatapere,NZ,-46.13,167.69,2019-04-09,53.01,96.0,7.87,92.0
56,northam,GB,51.04,-4.21,2019-04-09,43.0,85.0,7.0,64.0
